Variable,Resto del Pais,San Luis Potosí,Diferencia
Mujer,0.355,0.363,0.008
,(0.478),(0.481),(0.014)
Habla una lengua indigena,0.016,0.014,-0.002
,(0.126),(0.119),(0.004)
Menor a 11,0.002,0.002,-0.001
,(0.049),(0.041),(0.001)
Entre 11 y 20,0.002,0.002,-0.000
,(0.046),(0.041),(0.001)
Entre 21 y 30,0.015,0.012,-0.003
,(0.120),(0.108),(0.003)
Entre 31 y 40,0.050,0.041,-0.008
,(0.217),(0.199),(0.006)
Entre 41 y 50,0.131,0.130,-0.001
,(0.338),(0.337),(0.010)
Entre 51 y 60,0.236,0.220,-0.016
,(0.425),(0.414),(0.012)
Entre 61 y 70,0.275,0.281,0.006
,(0.447),(0.450),(0.013)
Entre 71 y 80,0.198,0.208,0.010
,(0.399),(0.406),(0.012)
Mayor a 81,0.091,0.104,0.014
,(0.287),(0.306),(0.008)
Obesidad,0.245,0.248,0.004
,(0.430),(0.432),(0.013)
Diabetes,0.380,0.445,0.065***
,(0.485),(0.497),(0.014)
Tabaquismo,0.080,0.078,-0.001
,(0.271),(0.269),(0.008)
EPOC,0.047,0.080,0.033***
,(0.212),(0.271),(0.006)
Asma,0.020,0.019,-0.001
,(0.141),(0.138),(0.004)
Hipertension,0.444,0.508,0.064***
,(0.497),(0.500),(0.015)
Enfermedades cardiovasculares,0.053,0.058,0.005
,(0.224),(0.234),(0.007)
Enfermedad renal crónica,0.068,0.098,0.029***
,(0.252),(0.297),(0.007)
Inmunosupresión,0.025,0.020,-0.005
,(0.157),(0.141),(0.005)
Más de una comorbilidad,0.417,0.476,0.060***
,(0.493),(0.500),(0.014)
Observaciones,"64,053","1,188","65,241"
